"FeatureNo","Feature","Importance"
34,"max..account.balance.4.months.ago",0.124633109577812
29,"min..account.balance.6.months.ago",0.1245710036732
9,"self.employed.",0.124308767223366
13,"max..account.balance.11.months.ago",0.124109745659045
23,"min..account.balance.8.months.ago",0.123552545027155
4,"gender",0.123507095298029
12,"avrg..account.balance.12.months.ago",0.123409107323295
22,"max..account.balance.8.months.ago",0.123103448246125
21,"avrg..account.balance.9.months.ago",0.122867182102428
32,"min..account.balance.5.months.ago",0.122742065611411
35,"min..account.balance.4.months.ago",0.122435593588019
36,"avrg..account.balance.4.months.ago",0.122420133836458
19,"max..account.balance.9.months.ago",0.12215060428682
6,"credit.refused.in.past.",0.121600283790153
40,"max..account.balance.2.months.ago",0.121081986828365
42,"avrg..account.balance.2.months.ago",0.120718668020447
25,"max..account.balance.7.months.ago",0.12067484238443
16,"max..account.balance.10.months.ago",0.120518219572787
27,"avrg..account.balance.7.months.ago",0.120462484030141
43,"max..account.balance.1.months.ago",0.119835981260905
44,"min..account.balance.1.months.ago",0.119680562567712
5,"X0..accounts.at.other.banks",0.118609798041258
24,"avrg..account.balance.8.months.ago",0.118276511836636
18,"avrg..account.balance.10.months.ago",0.118054746861666
10,"max..account.balance.12.months.ago",0.117585557542527
20,"min..account.balance.9.months.ago",0.117415414211446
28,"max..account.balance.6.months.ago",0.117305224624868
15,"avrg..account.balance.11.months.ago",0.117157692252464
39,"avrg..account.balance.3.months.ago",0.116685166041484
26,"min..account.balance.7.months.ago",0.116247138362822
41,"min..account.balance.2.months.ago",0.115264084079528
38,"min..account.balance.3.months.ago",0.11496805631958
17,"min..account.balance.10.months.ago",0.114737945306338
1,"functionary",0.113764057933285
30,"avrg..account.balance.6.months.ago",0.113494354192762
33,"avrg..account.balance.5.months.ago",0.11310273677907
45,"avrg..account.balance.1.months.ago",0.111353905531541
37,"max..account.balance.3.months.ago",0.110582735852318
11,"min..account.balance.12.months.ago",0.110435768350652
31,"max..account.balance.5.months.ago",0.108944106736469
14,"min..account.balance.11.months.ago",0.1074623969969
2,"re.balanced..paid.back..a.recently.overdrawn.current.acount",0.0960541844977043
3,"FI3O.credit.score",0.0943990657318012
7,"years.employed",0.0704829475694374
8,"savings.on.other.accounts",0.0555500324984256
